ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-07-30,547.4927599367466,624.2099395712715,752.3138042287922,547.4927599367466,547.4927599367466,140.11255605626616,140.11255605626616,140.11255605626616,0.016572402288820298,0.016572402288820298,0.016572402288820298,140.09598365397733,140.09598365397733,140.09598365397733,0.0,0.0,0.0,687.6053159930127
2019-07-31,547.5881186858674,615.0490811366718,744.7184626464125,547.5881186858674,547.5881186858674,137.0004107700562,137.0004107700562,137.0004107700562,-0.12148259635440921,-0.12148259635440921,-0.12148259635440921,137.12189336641057,137.12189336641057,137.12189336641057,0.0,0.0,0.0,684.5885294559235
2019-08-01,547.6834774349882,619.0450608049999,750.8226538433465,547.6834774349882,547.6834774349882,134.15186187292448,134.15186187292448,134.15186187292448,0.06422142509998377,0.06422142509998377,0.06422142509998377,134.0876404478245,134.0876404478245,134.0876404478245,0.0,0.0,0.0,681.8353393079126
2019-08-02,547.7788361841087,619.0618006591534,746.0879684208415,547.7788361841087,547.7788361841087,131.03520671531453,131.03520671531453,131.03520671531453,0.040029522192330136,0.040029522192330136,0.040029522192330136,130.9951771931222,130.9951771931222,130.9951771931222,0.0,0.0,0.0,678.8140428994233
2019-08-03,547.8741949332295,614.9041536080888,737.1938132276546,547.8741949332295,547.8741949332295,127.73157018763189,127.73157018763189,127.73157018763189,-0.11505053589217844,-0.11505053589217844,-0.11505053589217844,127.84662072352405,127.84662072352405,127.84662072352405,0.0,0.0,0.0,675.6057651208614
2019-08-04,547.96955368235,605.9772176190606,741.0741135279648,547.96955368235,547.96955368235,124.56062089824565,124.56062089824565,124.56062089824565,-0.08353906302903408,-0.08353906302903408,-0.08353906302903408,124.64415996127468,124.64415996127468,124.64415996127468,0.0,0.0,0.0,672.5301745805957
2019-08-05,547.9935303938519,602.6591674529042,728.3804994171375,547.9935303938519,547.9935303938519,121.58920673909097,121.58920673909097,121.58920673909097,0.199248845694934,0.199248845694934,0.199248845694934,121.38995789339604,121.38995789339604,121.38995789339604,0.0,0.0,0.0,669.5827371329428
2019-08-06,548.0175071053536,601.9835690768447,732.2198053015582,548.0175071053536,548.0175071053536,118.10262416285701,118.10262416285701,118.10262416285701,0.016572402288458687,0.016572402288458687,0.016572402288458687,118.08605176056855,118.08605176056855,118.08605176056855,0.0,0.0,0.0,666.1201312682106
2019-08-07,548.0414838168556,598.3196932577599,726.388997451871,548.0414838168556,548.0414838168556,114.61277129960315,114.61277129960315,114.61277129960315,-0.12148259635443528,-0.12148259635443528,-0.12148259635443528,114.7342538959576,114.7342538959576,114.7342538959576,0.0,0.0,0.0,662.6542551164588
2019-08-08,548.0654605283573,595.7188296166212,722.7797695601245,548.0654605283573,548.0654605283573,111.40027737739466,111.40027737739466,111.40027737739466,0.06422142509957175,0.06422142509957175,0.06422142509957175,111.33605595229508,111.33605595229508,111.33605595229508,0.0,0.0,0.0,659.465737905752
2019-08-09,548.0894372398592,590.3665196732813,721.8183335108899,548.0894372398592,548.0894372398592,107.93256871662756,107.93256871662756,107.93256871662756,0.04002952219267262,0.04002952219267262,0.04002952219267262,107.89253919443489,107.89253919443489,107.89253919443489,0.0,0.0,0.0,656.0220059564867
2019-08-10,548.1134139513609,587.2097594915228,719.3149464334447,548.1134139513609,548.1134139513609,104.2892428630203,104.2892428630203,104.2892428630203,-0.11505053589220608,-0.11505053589220608,-0.11505053589220608,104.4042933989125,104.4042933989125,104.4042933989125,0.0,0.0,0.0,652.4026568143812
2019-08-11,548.1373906628628,586.4514978151243,714.8020698495071,548.1373906628628,548.1373906628628,100.78780763356941,100.78780763356941,100.78780763356941,-0.08353906302931964,-0.08353906302931964,-0.08353906302931964,100.87134669659872,100.87134669659872,100.87134669659872,0.0,0.0,0.0,648.9251982964322
2019-08-12,548.1613673743647,581.1299421897651,710.4758849771629,548.1613673743647,548.1613673743647,97.49235726975206,97.49235726975206,97.49235726975206,0.1992488456947964,0.1992488456947964,0.1992488456947964,97.29310842405727,97.29310842405727,97.29310842405727,0.0,0.0,0.0,645.6537246441167
2019-08-13,548.1853440858665,576.5287169794738,707.0355137284256,548.1853440858665,548.1853440858665,93.68489912440371,93.68489912440371,93.68489912440371,0.016572402288312246,0.016572402288312246,0.016572402288312246,93.66832672211541,93.66832672211541,93.66832672211541,0.0,0.0,0.0,641.8702432102702
2019-08-14,548.2093207973684,572.2131169886014,698.8962136604955,548.2093207973684,548.2093207973684,89.8735796477488,89.8735796477488,89.8735796477488,-0.12148259635430075,-0.12148259635430075,-0.12148259635430075,89.9950622441031,89.9950622441031,89.9950622441031,0.0,0.0,0.0,638.0829004451172
2019-08-15,548.2332975088702,572.1009002074168,699.2840099516621,548.2332975088702,548.2332975088702,86.33490034865626,86.33490034865626,86.33490034865626,0.06422142509976127,0.06422142509976127,0.06422142509976127,86.27067892355652,86.27067892355652,86.27067892355652,0.0,0.0,0.0,634.5681978575265
2019-08-16,548.257274220372,566.6729031150674,696.8000504694712,548.257274220372,548.257274220372,82.5318818337689,82.5318818337689,82.5318818337689,0.040029522192655445,0.040029522192655445,0.040029522192655445,82.49185231157625,82.49185231157625,82.49185231157625,0.0,0.0,0.0,630.7891560541409
2019-08-17,548.2812509318738,561.5508030747125,690.193031202046,548.2812509318738,548.2812509318738,78.53954500514598,78.53954500514598,78.53954500514598,-0.11505053589233598,-0.11505053589233598,-0.11505053589233598,78.65459554103832,78.65459554103832,78.65459554103832,0.0,0.0,0.0,626.8207959370199
2019-08-18,548.3052276433757,556.3415857675307,687.1310227960155,548.3052276433757,548.3052276433757,74.67076345754776,74.67076345754776,74.67076345754776,-0.083539063029106,-0.083539063029106,-0.083539063029106,74.75430252057687,74.75430252057687,74.75430252057687,0.0,0.0,0.0,622.9759911009235
2019-08-19,548.3292043548776,553.8352997888662,682.3236944248495,548.3292043548776,548.3292043548776,70.98505636392558,70.98505636392558,70.98505636392558,0.19924884569483087,0.19924884569483087,0.19924884569483087,70.78580751823075,70.78580751823075,70.78580751823075,0.0,0.0,0.0,619.3142607188031
2019-08-20,548.3531810663794,552.3323496781567,677.9576919000405,548.3531810663794,548.3531810663794,66.76003227819625,66.76003227819625,66.76003227819625,0.016572402288488802,0.016572402288488802,0.016572402288488802,66.74345987590776,66.74345987590776,66.74345987590776,0.0,0.0,0.0,615.1132133445757
2019-08-21,548.3771577778812,540.7455828456896,680.0595997477099,548.3771577778812,548.3771577778812,62.49972961518049,62.49972961518049,62.49972961518049,-0.12148259635456474,-0.12148259635456474,-0.12148259635456474,62.62121221153505,62.62121221153505,62.62121221153505,0.0,0.0,0.0,610.8768873930617
2019-08-22,548.401134489383,543.630951697817,671.9004569245777,548.401134489383,548.401134489383,58.47694155372867,58.47694155372867,58.47694155372867,0.06422142509995078,0.06422142509995078,0.06422142509995078,58.41272012862871,58.41272012862871,58.41272012862871,0.0,0.0,0.0,606.8780760431117
2019-08-23,548.4251112008849,537.3456245737123,666.7401928789232,548.4251112008849,548.4251112008849,54.15148069169613,54.15148069169613,54.15148069169613,0.04002952219234454,0.04002952219234454,0.04002952219234454,54.11145116950379,54.11145116950379,54.11145116950379,0.0,0.0,0.0,602.5765918925811
2019-08-24,548.4490879123867,532.2979129162145,663.6758265421112,548.4490879123867,548.4490879123867,49.595749993646386,49.595749993646386,49.595749993646386,-0.11505053589241476,-0.11505053589241476,-0.11505053589241476,49.7108005295388,49.7108005295388,49.7108005295388,0.0,0.0,0.0,598.0448379060331
2019-08-25,548.4730646238886,532.4706011526597,661.0052904398639,548.4730646238886,548.4730646238886,45.12067183430892,45.12067183430892,45.12067183430892,-0.08353906302950105,-0.08353906302950105,-0.08353906302950105,45.20421089733842,45.20421089733842,45.20421089733842,0.0,0.0,0.0,593.5937364581976
2019-08-26,548.4970413353903,525.7109702384062,653.719438404915,548.4970413353903,548.4970413353903,40.784542553137456,40.784542553137456,40.784542553137456,0.1992488456948431,0.1992488456948431,0.1992488456948431,40.58529370744261,40.58529370744261,40.58529370744261,0.0,0.0,0.0,589.2815838885278
2019-08-27,548.5210180468921,519.0763743074641,648.4537244082697,548.5210180468921,548.5210180468921,35.86452148941434,35.86452148941434,35.86452148941434,0.016572402288127203,0.016572402288127203,0.016572402288127203,35.84794908712621,35.84794908712621,35.84794908712621,0.0,0.0,0.0,584.3855395363064
2019-08-28,548.5449947583941,517.7711603814679,644.0320663338274,548.5449947583941,548.5449947583941,30.864999250763287,30.864999250763287,30.864999250763287,-0.12148259635443025,-0.12148259635443025,-0.12148259635443025,30.98648184711772,30.98648184711772,30.98648184711772,0.0,0.0,0.0,579.4099940091573
2019-08-29,548.5689714698958,508.6039072563133,637.6369586979886,548.5689714698958,548.5689714698958,26.059932431408775,26.059932431408775,26.059932431408775,0.06422142510014028,0.06422142510014028,0.06422142510014028,25.995711006308632,25.995711006308632,25.995711006308632,0.0,0.0,0.0,574.6289039013046
